,setor,matricula,cargo,funcao,salario,mes
223,04º GABINETE DE VEREADOR,29479,ASSISTENTE PARLAMENTAR,,9881.43,2
224,04º GABINETE DE VEREADOR,230072,ASSISTENTE PARLAMENTAR,,2019.7,2
225,04º GABINETE DE VEREADOR,230077,ASSISTENTE PARLAMENTAR,,2010.45,2
226,04º GABINETE DE VEREADOR,230090,ASSISTENTE PARLAMENTAR,,8453.15,2
227,04º GABINETE DE VEREADOR,230173,ASSISTENTE PARLAMENTAR,,3812.12,2
228,04º GABINETE DE VEREADOR,230315,ASSISTENTE PARLAMENTAR,,9628.09,2
229,04º GABINETE DE VEREADOR,230560,ASSISTENTE PARLAMENTAR,,2539.1,2
230,04º GABINETE DE VEREADOR,230674,ASSISTENTE PARLAMENTAR,,12404.84,2
231,04º GABINETE DE VEREADOR,230730,ASSISTENTE PARLAMENTAR,,12404.84,2
232,04º GABINETE DE VEREADOR,230793,ASSISTENTE PARLAMENTAR,,2571.82,2
233,04º GABINETE DE VEREADOR,230803,ASSISTENTE PARLAMENTAR,,2901.29,2
234,05º GABINETE DE VEREADOR,40554,VEREADOR,VEREADOR,11534.82,2
235,05º GABINETE DE VEREADOR,29638,CHEFE DE GABINETE,CHEFE DE GABINETE,14834.04,2
236,05º GABINETE DE VEREADOR,28359,ASSISTENTE PARLAMENTAR,,2934.74,2
237,05º GABINETE DE VEREADOR,29216,ASSISTENTE PARLAMENTAR,,17948.5,2
238,05º GABINETE DE VEREADOR,29217,ASSISTENTE PARLAMENTAR,,17948.5,2
239,05º GABINETE DE VEREADOR,29384,ASSISTENTE PARLAMENTAR,,8860.3,2
240,05º GABINETE DE VEREADOR,29471,ASSISTENTE PARLAMENTAR,,10573.17,2
241,05º GABINETE DE VEREADOR,29472,ASSISTENTE PARLAMENTAR,,2574.35,2
242,05º GABINETE DE VEREADOR,29497,ASSISTENTE PARLAMENTAR,,4437.43,2
243,05º GABINETE DE VEREADOR,29504,ASSISTENTE PARLAMENTAR,,3954.51,2
244,05º GABINETE DE VEREADOR,29754,ASSISTENTE PARLAMENTAR,,17944.99,2
245,05º GABINETE DE VEREADOR,29798,ASSISTENTE PARLAMENTAR,,2232.78,2
246,05º GABINETE DE VEREADOR,230135,ASSISTENTE PARLAMENTAR,,2277.77,2
247,05º GABINETE DE VEREADOR,230831,ASSISTENTE PARLAMENTAR,,1253.42,2
248,06º GABINETE DE VEREADOR,40539,VEREADOR,VEREADOR,11482.68,2
249,06º GABINETE DE VEREADOR,23231,CHEFE DE GABINETE,CHEFE DE GABINETE,15277.42,2
250,06º GABINETE DE VEREADOR,20890,ASSISTENTE PARLAMENTAR,,6134.06,2
251,06º GABINETE DE VEREADOR,22923,ASSISTENTE PARLAMENTAR,,13034.18,2
252,06º GABINETE DE VEREADOR,27375,ASSISTENTE PARLAMENTAR,,4792.34,2
253,06º GABINETE DE VEREADOR,27974,ASSISTENTE PARLAMENTAR,,10092.8,2
254,06º GABINETE DE VEREADOR,28301,ASSISTENTE PARLAMENTAR,,6096.44,2
255,06º GABINETE DE VEREADOR,28486,ASSISTENTE PARLAMENTAR,,10092.8,2
256,06º GABINETE DE VEREADOR,28512,ASSISTENTE PARLAMENTAR,,5310.58,2
257,06º GABINETE DE VEREADOR,230594,ASSISTENTE PARLAMENTAR,,3017.26,2
258,06º GABINETE DE VEREADOR,230596,ASSISTENTE PARLAMENTAR,,2899.99,2
259,06º GABINETE DE VEREADOR,230706,ASSISTENTE PARLAMENTAR,,7923.93,2
260,06º GABINETE DE VEREADOR,230736,ASSISTENTE PARLAMENTAR,,4098.3,2
261,06º GABINETE DE VEREADOR,230739,ASSISTENTE PARLAMENTAR,,7692.34,2
262,06º GABINETE DE VEREADOR,230744,ASSISTENTE PARLAMENTAR,,7953.03,2
263,06º GABINETE DE VEREADOR,230763,ASSISTENTE PARLAMENTAR,,10012.34,2
264,06º GABINETE DE VEREADOR,230764,ASSISTENTE PARLAMENTAR,,6159.5,2
265,07º GABINETE DE VEREADOR,40582,VEREADOR,VEREADOR,11326.27,2
266,07º GABINETE DE VEREADOR,28350,CHEFE DE GABINETE,CHEFE DE GABINETE,17807.56,2
267,07º GABINETE DE VEREADOR,230608,ASSISTENTE PARLAMENTAR,ASSISTENTE DE IMPRENSA,7678.57,2
268,07º GABINETE DE VEREADOR,29117,ASSISTENTE PARLAMENTAR,,6630.65,2
269,07º GABINETE DE VEREADOR,29195,ASSISTENTE PARLAMENTAR,,5106.87,2
270,07º GABINETE DE VEREADOR,230600,ASSISTENTE PARLAMENTAR,,5143.97,2
271,07º GABINETE DE VEREADOR,230601,ASSISTENTE PARLAMENTAR,,11099.84,2
272,07º GABINETE DE VEREADOR,230602,ASSISTENTE PARLAMENTAR,,10918.59,2
273,07º GABINETE DE VEREADOR,230603,ASSISTENTE PARLAMENTAR,,7003.59,2
274,07º GABINETE DE VEREADOR,230611,ASSISTENTE PARLAMENTAR,,13347.34,2
275,07º GABINETE DE VEREADOR,230612,ASSISTENTE PARLAMENTAR,,4098.3,2
276,07º GABINETE DE VEREADOR,230614,ASSISTENTE PARLAMENTAR,,13347.34,2
277,07º GABINETE DE VEREADOR,230616,ASSISTENTE PARLAMENTAR,,5517.34,2
278,07º GABINETE DE VEREADOR,230686,ASSISTENTE PARLAMENTAR,,3867.62,2
279,07º GABINETE DE VEREADOR,230687,ASSISTENTE PARLAMENTAR,,4044.94,2
280,07º GABINETE DE VEREADOR,230822,ASSISTENTE PARLAMENTAR,,2298.54,2
281,07º GABINETE DE VEREADOR,230823,ASSISTENTE PARLAMENTAR,,1469.87,2
282,08º GABINETE DE VEREADOR,24082,CHEFE DE GABINETE,CHEFE DE GABINETE,16789.83,2
283,08º GABINETE DE VEREADOR,23559,ASSISTENTE PARLAMENTAR,,1014.87,2
284,08º GABINETE DE VEREADOR,25014,ASSISTENTE PARLAMENTAR,,7660.42,2
285,08º GABINETE DE VEREADOR,27970,ASSISTENTE PARLAMENTAR,,2356.95,2
286,08º GABINETE DE VEREADOR,28563,ASSISTENTE PARLAMENTAR,,8447.73,2
287,08º GABINETE DE VEREADOR,29114,ASSISTENTE PARLAMENTAR,,2019.7,2
288,08º GABINETE DE VEREADOR,29213,ASSISTENTE PARLAMENTAR,,2511.01,2
289,08º GABINETE DE VEREADOR,29292,ASSISTENTE PARLAMENTAR,,2907.57,2
290,08º GABINETE DE VEREADOR,29307,ASSISTENTE PARLAMENTAR,,12187.34,2
291,08º GABINETE DE VEREADOR,29340,ASSISTENTE PARLAMENTAR,,3804.19,2
292,08º GABINETE DE VEREADOR,29394,ASSISTENTE PARLAMENTAR,,12496.63,2
293,08º GABINETE DE VEREADOR,29651,ASSISTENTE PARLAMENTAR,,12851.32,2
294,08º GABINETE DE VEREADOR,29848,ASSISTENTE PARLAMENTAR,,3017.26,2
295,08º GABINETE DE VEREADOR,29993,ASSISTENTE PARLAMENTAR,,6225.95,2
296,08º GABINETE DE VEREADOR,52130,COMISSIONADO,,9673.63,2
297,08º GABINETE DE VEREADOR,230250,ASSISTENTE PARLAMENTAR,,5034.37,2
298,08º GABINETE DE VEREADOR,230285,ASSISTENTE PARLAMENTAR,,2011.02,2
299,08º GABINETE DE VEREADOR,230362,ASSISTENTE PARLAMENTAR,,6358.93,2
300,08º GABINETE DE VEREADOR,230836,ASSISTENTE PARLAMENTAR,,544.5,2
301,09º GABINETE DE VEREADOR,40588,VEREADOR,VEREADOR,11378.4,2
302,09º GABINETE DE VEREADOR,26012,CHEFE DE GABINETE,CHEFE DE GABINETE,16995.56,2
303,09º GABINETE DE VEREADOR,25505,ASSISTENTE PARLAMENTAR,,13570.69,2
304,09º GABINETE DE VEREADOR,25507,ASSISTENTE PARLAMENTAR,,8062.8,2
305,09º GABINETE DE VEREADOR,25563,ASSISTENTE PARLAMENTAR,,7067.61,2
306,09º GABINETE DE VEREADOR,27938,ASSISTENTE PARLAMENTAR,,16126.18,2
307,09º GABINETE DE VEREADOR,28018,ASSISTENTE PARLAMENTAR,,3588.55,2
308,09º GABINETE DE VEREADOR,28834,ASSISTENTE PARLAMENTAR,,2646.6,2
309,09º GABINETE DE VEREADOR,29029,ASSISTENTE PARLAMENTAR,,8018.59,2
310,09º GABINETE DE VEREADOR,29144,ASSISTENTE PARLAMENTAR,,15993.59,2
311,09º GABINETE DE VEREADOR,230437,ASSISTENTE PARLAMENTAR,,-395.81,2
312,09º GABINETE DE VEREADOR,230440,ASSISTENTE PARLAMENTAR,,7290.87,2
313,09º GABINETE DE VEREADOR,230441,ASSISTENTE PARLAMENTAR,,2192.51,2
314,09º GABINETE DE VEREADOR,230569,ASSISTENTE PARLAMENTAR,,2505.07,2
315,09º GABINETE DE VEREADOR,230572,ASSISTENTE PARLAMENTAR,,2180.42,2
316,09º GABINETE DE VEREADOR,230617,ASSISTENTE PARLAMENTAR,,3206.39,2
317,09º GABINETE DE VEREADOR,230618,ASSISTENTE PARLAMENTAR,,2180.42,2
318,09º GABINETE DE VEREADOR,230620,ASSISTENTE PARLAMENTAR,,2065.2,2
319,09º GABINETE DE VEREADOR,230799,ASSISTENTE PARLAMENTAR,,5061.98,2
320,09º GABINETE DE VEREADOR,230800,ASSISTENTE PARLAMENTAR,,2065.2,2
321,10º GABINETE DE VEREADOR,40474,VEREADOR,VEREADOR,9340.52,2
322,10º GABINETE DE VEREADOR,21158,ASSISTENTE PARLAMENTAR,,5140.68,2
323,10º GABINETE DE VEREADOR,26632,ASSISTENTE PARLAMENTAR,,4642.38,2
324,10º GABINETE DE VEREADOR,28137,ASSISTENTE PARLAMENTAR,,5793.24,2
325,10º GABINETE DE VEREADOR,28146,ASSISTENTE PARLAMENTAR,,3782.97,2
326,10º GABINETE DE VEREADOR,28559,ASSISTENTE PARLAMENTAR,,4778.57,2
327,10º GABINETE DE VEREADOR,28773,ASSISTENTE PARLAMENTAR,,3843.78,2
328,10º GABINETE DE VEREADOR,28812,ASSISTENTE PARLAMENTAR,,4425.39,2
329,10º GABINETE DE VEREADOR,29965,ASSISTENTE PARLAMENTAR,,7091.96,2
330,10º GABINETE DE VEREADOR,230625,ASSISTENTE PARLAMENTAR,,5061.96,2
331,10º GABINETE DE VEREADOR,230627,ASSISTENTE PARLAMENTAR,,3978.95,2
332,10º GABINETE DE VEREADOR,230811,ASSISTENTE PARLAMENTAR,,2805.38,2
333,10º GABINETE DE VEREADOR,230819,ASSISTENTE PARLAMENTAR,,3055.51,2
334,11º GABINETE DE VEREADOR,40581,VEREADOR,VEREADOR,11430.54,2
335,11º GABINETE DE VEREADOR,29187,CHEFE DE GABINETE,CHEFE DE GABINETE,2572.55,2
336,11º GABINETE DE VEREADOR,21594,ASSISTENTE PARLAMENTAR,,4155.82,2
337,11º GABINETE DE VEREADOR,25896,ASSISTENTE PARLAMENTAR,,5703.67,2
338,11º GABINETE DE VEREADOR,26457,ASSISTENTE PARLAMENTAR,,4719.27,2
339,11º GABINETE DE VEREADOR,29224,ASSISTENTE PARLAMENTAR,,6672.57,2
340,11º GABINETE DE VEREADOR,29858,ASSISTENTE PARLAMENTAR,,7537.1,2
341,11º GABINETE DE VEREADOR,29943,ASSISTENTE PARLAMENTAR,,3295.87,2
342,11º GABINETE DE VEREADOR,230579,ASSISTENTE PARLAMENTAR,,4363.56,2
343,11º GABINETE DE VEREADOR,230580,ASSISTENTE PARLAMENTAR,,7627.09,2
344,11º GABINETE DE VEREADOR,230581,ASSISTENTE PARLAMENTAR,,4448.87,2
345,11º GABINETE DE VEREADOR,230582,ASSISTENTE PARLAMENTAR,,5009.84,2
346,11º GABINETE DE VEREADOR,230584,ASSISTENTE PARLAMENTAR,,3197.0,2
347,11º GABINETE DE VEREADOR,230593,ASSISTENTE PARLAMENTAR,,8330.34,2
348,11º GABINETE DE VEREADOR,230778,ASSISTENTE PARLAMENTAR,,3798.49,2
349,11º GABINETE DE VEREADOR,230789,ASSISTENTE PARLAMENTAR,,8493.04,2
350,11º GABINETE DE VEREADOR,230833,ASSISTENTE PARLAMENTAR,,748.7,2
351,12º GABINETE DE VEREADOR,40501,VEREADOR,VEREADOR,11430.54,2
352,12º GABINETE DE VEREADOR,23652,CHEFE DE GABINETE,CHEFE DE GABINETE,19620.38,2
353,12º GABINETE DE VEREADOR,26839,ASSISTENTE PARLAMENTAR,,4094.0,2
354,12º GABINETE DE VEREADOR,26846,ASSISTENTE PARLAMENTAR,,4307.79,2
355,12º GABINETE DE VEREADOR,28341,ASSISTENTE PARLAMENTAR,,9214.84,2
356,12º GABINETE DE VEREADOR,28369,ASSISTENTE PARLAMENTAR,,5815.44,2
357,12º GABINETE DE VEREADOR,28999,ASSISTENTE PARLAMENTAR,,9399.57,2
358,12º GABINETE DE VEREADOR,29011,ASSISTENTE PARLAMENTAR,,9008.75,2
359,12º GABINETE DE VEREADOR,29647,ASSISTENTE PARLAMENTAR,,2765.7,2
360,12º GABINETE DE VEREADOR,29774,ASSISTENTE PARLAMENTAR,,3236.87,2
361,12º GABINETE DE VEREADOR,29817,ASSISTENTE PARLAMENTAR,,9214.84,2
362,12º GABINETE DE VEREADOR,52311,COMISSIONADO,,4513.87,2
363,12º GABINETE DE VEREADOR,230133,ASSISTENTE PARLAMENTAR,,9868.84,2
364,12º GABINETE DE VEREADOR,230155,ASSISTENTE PARLAMENTAR,,2138.33,2
365,12º GABINETE DE VEREADOR,230180,ASSISTENTE PARLAMENTAR,,9049.48,2
366,12º GABINETE DE VEREADOR,230359,ASSISTENTE PARLAMENTAR,,2111.85,2
367,12º GABINETE DE VEREADOR,230417,ASSISTENTE PARLAMENTAR,,9227.89,2
368,12º GABINETE DE VEREADOR,230457,ASSISTENTE PARLAMENTAR,,9068.19,2
369,12º GABINETE DE VEREADOR,230769,ASSISTENTE PARLAMENTAR,,8709.99,2
370,13º GABINETE DE VEREADOR,40367,VEREADOR,VEREADOR,11326.27,2
371,13º GABINETE DE VEREADOR,230636,CHEFE DE GABINETE,CHEFE DE GABINETE,14290.29,2
372,13º GABINETE DE VEREADOR,29760,ASSISTENTE PARLAMENTAR,,7599.48,2
373,13º GABINETE DE VEREADOR,230370,ASSISTENTE PARLAMENTAR,,10753.23,2
374,13º GABINETE DE VEREADOR,230576,ASSISTENTE PARLAMENTAR,,6387.34,2
375,13º GABINETE DE VEREADOR,230577,ASSISTENTE PARLAMENTAR,,7683.56,2
376,13º GABINETE DE VEREADOR,230578,ASSISTENTE PARLAMENTAR,,6387.34,2
377,13º GABINETE DE VEREADOR,230629,ASSISTENTE PARLAMENTAR,,8034.48,2
378,13º GABINETE DE VEREADOR,230631,ASSISTENTE PARLAMENTAR,,6491.62,2
379,13º GABINETE DE VEREADOR,230632,ASSISTENTE PARLAMENTAR,,8318.2,2
380,13º GABINETE DE VEREADOR,230633,ASSISTENTE PARLAMENTAR,,6514.65,2
381,13º GABINETE DE VEREADOR,230635,ASSISTENTE PARLAMENTAR,,5789.65,2
382,13º GABINETE DE VEREADOR,230639,ASSISTENTE PARLAMENTAR,,10012.34,2
383,13º GABINETE DE VEREADOR,230640,ASSISTENTE PARLAMENTAR,,5583.56,2
384,13º GABINETE DE VEREADOR,230642,ASSISTENTE PARLAMENTAR,,6387.34,2
385,13º GABINETE DE VEREADOR,230643,ASSISTENTE PARLAMENTAR,,6439.48,2
386,13º GABINETE DE VEREADOR,230688,ASSISTENTE PARLAMENTAR,,5333.87,2
387,14º GABINETE DE VEREADOR,40468,VEREADOR,VEREADOR,11430.54,2
388,14º GABINETE DE VEREADOR,26028,CHEFE DE GABINETE,CHEFE DE GABINETE,17909.08,2
389,14º GABINETE DE VEREADOR,21301,ASSISTENTE PARLAMENTAR,,4143.54,2
390,14º GABINETE DE VEREADOR,25234,ASSISTENTE PARLAMENTAR,,5013.3,2
391,14º GABINETE DE VEREADOR,25245,ASSISTENTE PARLAMENTAR,,4715.76,2
392,14º GABINETE DE VEREADOR,25355,ASSISTENTE PARLAMENTAR,,7075.93,2
393,14º GABINETE DE VEREADOR,26549,ASSISTENTE PARLAMENTAR,,4728.96,2
394,14º GABINETE DE VEREADOR,27346,ASSISTENTE PARLAMENTAR,,2838.71,2
395,14º GABINETE DE VEREADOR,27658,ASSISTENTE PARLAMENTAR,,4342.42,2
396,14º GABINETE DE VEREADOR,28575,ASSISTENTE PARLAMENTAR,,17853.88,2
397,14º GABINETE DE VEREADOR,29510,ASSISTENTE PARLAMENTAR,,5067.84,2
398,14º GABINETE DE VEREADOR,29529,ASSISTENTE PARLAMENTAR,,2917.62,2
399,14º GABINETE DE VEREADOR,29546,ASSISTENTE PARLAMENTAR,,11879.65,2
400,14º GABINETE DE VEREADOR,29549,ASSISTENTE PARLAMENTAR,,7837.34,2
401,14º GABINETE DE VEREADOR,29604,ASSISTENTE PARLAMENTAR,,7164.48,2
402,14º GABINETE DE VEREADOR,29844,ASSISTENTE PARLAMENTAR,,3673.81,2
403,14º GABINETE DE VEREADOR,51854,COMISSIONADO,,4961.13,2
404,14º GABINETE DE VEREADOR,230015,ASSISTENTE PARLAMENTAR,,3423.95,2
405,14º GABINETE DE VEREADOR,230293,ASSISTENTE PARLAMENTAR,,6439.48,2
406,15º GABINETE DE VEREADOR,40403,VEREADOR,VEREADOR,10781.36,2
407,15º GABINETE DE VEREADOR,26698,CHEFE DE GABINETE,CHEFE DE GABINETE,17802.08,2
408,15º GABINETE DE VEREADOR,22708,ASSISTENTE PARLAMENTAR,,7739.88,2
409,15º GABINETE DE VEREADOR,23262,ASSISTENTE PARLAMENTAR,,4000.35,2
410,15º GABINETE DE VEREADOR,23399,ASSISTENTE PARLAMENTAR,,3850.5,2
411,15º GABINETE DE VEREADOR,23654,ASSISTENTE PARLAMENTAR,,6438.66,2
412,15º GABINETE DE VEREADOR,24106,ASSISTENTE PARLAMENTAR,,6966.22,2
413,15º GABINETE DE VEREADOR,24442,ASSISTENTE PARLAMENTAR,,4954.46,2
414,15º GABINETE DE VEREADOR,24990,ASSISTENTE PARLAMENTAR,,6231.82,2
415,15º GABINETE DE VEREADOR,27865,ASSISTENTE PARLAMENTAR,,16470.67,2
416,15º GABINETE DE VEREADOR,28084,ASSISTENTE PARLAMENTAR,,9794.94,2
417,15º GABINETE DE VEREADOR,29473,ASSISTENTE PARLAMENTAR,,16014.84,2
418,15º GABINETE DE VEREADOR,29755,ASSISTENTE PARLAMENTAR,,3794.01,2
419,15º GABINETE DE VEREADOR,29896,ASSISTENTE PARLAMENTAR,,4127.66,2
420,15º GABINETE DE VEREADOR,230123,ASSISTENTE PARLAMENTAR,,2303.32,2
421,15º GABINETE DE VEREADOR,230322,ASSISTENTE PARLAMENTAR,,2561.26,2
422,15º GABINETE DE VEREADOR,230340,ASSISTENTE PARLAMENTAR,,12000.36,2
423,15º GABINETE DE VEREADOR,230443,ASSISTENTE PARLAMENTAR,,2138.33,2
424,16º GABINETE DE VEREADOR,40558,VEREADOR,VEREADOR,11326.27,2
425,16º GABINETE DE VEREADOR,24894,CHEFE DE GABINETE,CHEFE DE GABINETE,16962.38,2
426,16º GABINETE DE VEREADOR,230162,ASSISTENTE PARLAMENTAR,ASSISTENTE DE IMPRENSA,3539.25,2
427,16º GABINETE DE VEREADOR,22824,ASSISTENTE PARLAMENTAR,,14630.53,2
428,16º GABINETE DE VEREADOR,25942,ASSISTENTE PARLAMENTAR,,15734.62,2
429,16º GABINETE DE VEREADOR,27483,ASSISTENTE PARLAMENTAR,,4676.09,2
430,16º GABINETE DE VEREADOR,29181,ASSISTENTE PARLAMENTAR,,2726.21,2
431,16º GABINETE DE VEREADOR,29186,ASSISTENTE PARLAMENTAR,,2699.58,2
432,16º GABINETE DE VEREADOR,29218,ASSISTENTE PARLAMENTAR,,3231.36,2
433,16º GABINETE DE VEREADOR,29288,ASSISTENTE PARLAMENTAR,,15616.4,2
434,16º GABINETE DE VEREADOR,29398,ASSISTENTE PARLAMENTAR,,7656.98,2
435,16º GABINETE DE VEREADOR,29496,ASSISTENTE PARLAMENTAR,,4760.44,2
436,16º GABINETE DE VEREADOR,29699,ASSISTENTE PARLAMENTAR,,1664.44,2
437,16º GABINETE DE VEREADOR,29765,ASSISTENTE PARLAMENTAR,,2591.19,2
438,16º GABINETE DE VEREADOR,29891,ASSISTENTE PARLAMENTAR,,2618.39,2
439,16º GABINETE DE VEREADOR,29957,ASSISTENTE PARLAMENTAR,,2591.19,2
440,16º GABINETE DE VEREADOR,230586,ASSISTENTE PARLAMENTAR,,3003.92,2
441,16º GABINETE DE VEREADOR,230771,ASSISTENTE PARLAMENTAR,,16934.58,2
442,17º GABINETE DE VEREADOR,40559,VEREADOR,VEREADOR,11482.68,2
443,17º GABINETE DE VEREADOR,29197,CHEFE DE GABINETE,CHEFE DE GABINETE,18034.0,2
444,17º GABINETE DE VEREADOR,21492,ASSISTENTE PARLAMENTAR,,2501.38,2
445,17º GABINETE DE VEREADOR,23346,ASSISTENTE PARLAMENTAR,,14698.14,2
446,17º GABINETE DE VEREADOR,25918,ASSISTENTE PARLAMENTAR,,4962.91,2
447,17º GABINETE DE VEREADOR,26046,ASSISTENTE PARLAMENTAR,,3648.33,2
448,17º GABINETE DE VEREADOR,27239,ASSISTENTE PARLAMENTAR,,13596.9,2
449,17º GABINETE DE VEREADOR,27910,ASSISTENTE PARLAMENTAR,,2590.06,2
450,17º GABINETE DE VEREADOR,28668,ASSISTENTE PARLAMENTAR,,13769.93,2
451,17º GABINETE DE VEREADOR,28692,ASSISTENTE PARLAMENTAR,,2011.02,2
452,17º GABINETE DE VEREADOR,29034,ASSISTENTE PARLAMENTAR,,13729.49,2
453,17º GABINETE DE VEREADOR,29215,ASSISTENTE PARLAMENTAR,,12383.41,2
454,17º GABINETE DE VEREADOR,29221,ASSISTENTE PARLAMENTAR,,2019.7,2
455,17º GABINETE DE VEREADOR,29986,ASSISTENTE PARLAMENTAR,,8431.84,2
456,17º GABINETE DE VEREADOR,230205,ASSISTENTE PARLAMENTAR,,2019.7,2
457,17º GABINETE DE VEREADOR,230331,ASSISTENTE PARLAMENTAR,,2963.01,2
458,17º GABINETE DE VEREADOR,230392,ASSISTENTE PARLAMENTAR,,2011.02,2
459,17º GABINETE DE VEREADOR,230728,ASSISTENTE PARLAMENTAR,,2011.02,2
460,18º GABINETE DE VEREADOR,40585,VEREADOR,VEREADOR,11482.68,2
461,18º GABINETE DE VEREADOR,25278,CHEFE DE GABINETE,CHEFE DE GABINETE,14866.83,2
462,18º GABINETE DE VEREADOR,52350,COMISSIONADO,,-280.0,2
463,18º GABINETE DE VEREADOR,230484,ASSISTENTE PARLAMENTAR,,9414.65,2
464,18º GABINETE DE VEREADOR,230656,ASSISTENTE PARLAMENTAR,,2559.21,2
465,18º GABINETE DE VEREADOR,230767,ASSISTENTE PARLAMENTAR,,3452.39,2
466,18º GABINETE DE VEREADOR,230785,ASSISTENTE PARLAMENTAR,,1273.24,2
467,18º GABINETE DE VEREADOR,230826,ASSISTENTE PARLAMENTAR,,1089.01,2
468,18º GABINETE DE VEREADOR,230827,ASSISTENTE PARLAMENTAR,,1089.01,2
469,18º GABINETE DE VEREADOR,230837,ASSISTENTE PARLAMENTAR,,3384.72,2
470,19º GABINETE DE VEREADOR,40471,VEREADOR,VEREADOR,02ª SECRETARIA DA MESA,2
471,19º GABINETE DE VEREADOR,26302,ASSISTENTE PARLAMENTAR,,7843.17,2
472,19º GABINETE DE VEREADOR,26478,ASSISTENTE PARLAMENTAR,,6953.24,2
473,19º GABINETE DE VEREADOR,28459,ASSISTENTE PARLAMENTAR,,5038.14,2
474,19º GABINETE DE VEREADOR,29649,ASSISTENTE PARLAMENTAR,,5159.14,2
475,19º GABINETE DE VEREADOR,52326,COMISSIONADO,,2878.66,2
476,19º GABINETE DE VEREADOR,52410,COMISSIONADO,,2180.8,2
477,19º GABINETE DE VEREADOR,230357,ASSISTENTE PARLAMENTAR,,2754.08,2
478,19º GABINETE DE VEREADOR,230408,ASSISTENTE PARLAMENTAR,,3414.83,2
479,19º GABINETE DE VEREADOR,230420,ASSISTENTE PARLAMENTAR,,7805.55,2
480,19º GABINETE DE VEREADOR,230432,ASSISTENTE PARLAMENTAR,,5503.24,2
481,20º GABINETE DE VEREADOR,40586,VEREADOR,VEREADOR,11326.27,2
482,20º GABINETE DE VEREADOR,230546,CHEFE DE GABINETE,CHEFE DE GABINETE,12316.91,2
483,20º GABINETE DE VEREADOR,230531,ASSISTENTE PARLAMENTAR,,9287.34,2
484,20º GABINETE DE VEREADOR,230537,ASSISTENTE PARLAMENTAR,,4363.56,2
485,20º GABINETE DE VEREADOR,230538,ASSISTENTE PARLAMENTAR,,4363.56,2
486,20º GABINETE DE VEREADOR,230539,ASSISTENTE PARLAMENTAR,,5696.37,2
487,20º GABINETE DE VEREADOR,230545,ASSISTENTE PARLAMENTAR,,10737.34,2
488,20º GABINETE DE VEREADOR,230555,ASSISTENTE PARLAMENTAR,,4363.56,2
489,20º GABINETE DE VEREADOR,230622,ASSISTENTE PARLAMENTAR,,9287.34,2
490,21º GABINETE DE VEREADOR,40562,VEREADOR,VEREADOR,11326.27,2
491,21º GABINETE DE VEREADOR,29764,CHEFE DE GABINETE,CHEFE DE GABINETE,12194.32,2
492,21º GABINETE DE VEREADOR,24261,ASSISTENTE PARLAMENTAR,,8376.87,2
493,21º GABINETE DE VEREADOR,27056,ASSISTENTE PARLAMENTAR,,12347.93,2
494,21º GABINETE DE VEREADOR,27091,ASSISTENTE PARLAMENTAR,,7360.61,2
495,21º GABINETE DE VEREADOR,28937,ASSISTENTE PARLAMENTAR,,8071.08,2
496,21º GABINETE DE VEREADOR,29333,ASSISTENTE PARLAMENTAR,,8440.14,2
497,21º GABINETE DE VEREADOR,29334,ASSISTENTE PARLAMENTAR,,7921.44,2
498,21º GABINETE DE VEREADOR,29339,ASSISTENTE PARLAMENTAR,,4354.24,2
499,21º GABINETE DE VEREADOR,29343,ASSISTENTE PARLAMENTAR,,11462.34,2
500,21º GABINETE DE VEREADOR,29371,ASSISTENTE PARLAMENTAR,,6145.08,2
501,21º GABINETE DE VEREADOR,29372,ASSISTENTE PARLAMENTAR,,10078.9,2
502,21º GABINETE DE VEREADOR,29422,ASSISTENTE PARLAMENTAR,,7234.32,2
503,21º GABINETE DE VEREADOR,230380,ASSISTENTE PARLAMENTAR,,6145.08,2
504,22º GABINETE DE VEREADOR,40587,VEREADOR,VEREADOR,01º SUPLENTE DA MESA,2
505,22º GABINETE DE VEREADOR,230595,CHEFE DE GABINETE,CHEFE DE GABINETE,17391.91,2
506,22º GABINETE DE VEREADOR,21176,ASSISTENTE PARLAMENTAR,,7607.43,2
507,22º GABINETE DE VEREADOR,21757,ASSISTENTE PARLAMENTAR,,5662.34,2
508,22º GABINETE DE VEREADOR,23254,ASSISTENTE PARLAMENTAR,,11697.76,2
509,22º GABINETE DE VEREADOR,230265,ASSISTENTE PARLAMENTAR,,7508.87,2
510,22º GABINETE DE VEREADOR,230661,ASSISTENTE PARLAMENTAR,,17418.75,2
511,22º GABINETE DE VEREADOR,230662,ASSISTENTE PARLAMENTAR,,4937.34,2
512,22º GABINETE DE VEREADOR,230665,ASSISTENTE PARLAMENTAR,,5085.4,2
513,22º GABINETE DE VEREADOR,230666,ASSISTENTE PARLAMENTAR,,3673.81,2
514,22º GABINETE DE VEREADOR,230667,ASSISTENTE PARLAMENTAR,,4989.48,2
515,22º GABINETE DE VEREADOR,230678,ASSISTENTE PARLAMENTAR,,4702.15,2
516,22º GABINETE DE VEREADOR,230682,ASSISTENTE PARLAMENTAR,,4702.15,2
517,22º GABINETE DE VEREADOR,230689,ASSISTENTE PARLAMENTAR,,7758.56,2
518,22º GABINETE DE VEREADOR,230752,ASSISTENTE PARLAMENTAR,,7889.48,2
